object,,start,start_sec,end,end_sec,duration,duration_sec
face,,00:12.5,12.484,00:13.0,12.987,00:00.5,0.503
face,,00:16.1,16.102,00:17.2,17.234,00:01.1,1.132
face,,00:31.4,31.396,00:33.2,33.176,00:01.8,1.78
face,,00:33.3,33.31,00:33.6,33.551,00:00.2,0.241
face,,00:50.1,50.15,00:52.3,52.327,00:02.2,2.177
face,,01:11.7,71.666,01:13.8,73.765,00:02.1,2.099
face,,01:33.7,93.678,01:36.3,96.341,00:02.7,2.663
face,,02:58.1,178.079,02:58.9,178.9,00:00.8,0.821
face,,03:04.3,184.341,03:05.1,185.078,00:00.7,0.737
face,,03:25.1,205.084,03:26.2,206.199,00:01.1,1.115
face,,03:30.4,210.404,03:30.7,210.739,00:00.3,0.335
face,,03:31.6,211.585,03:32.3,212.323,00:00.7,0.738
face,,04:02.6,242.57,04:03.2,243.23,00:00.7,0.66
face,,04:06.0,245.987,04:06.6,246.562,00:00.6,0.575
face,,04:07.3,247.333,04:07.7,247.702,00:00.4,0.369
uncertain,,01:47.6,107.63,01:47.7,107.697,00:00.1,0.067
uncertain,,01:49.4,109.371,01:49.6,109.573,00:00.2,0.202
uncertain,,02:12.7,132.673,02:13.4,133.387,00:00.7,0.714
uncertain,,03:11.3,191.281,03:11.6,191.582,00:00.3,0.301
uncertain,,03:37.1,217.133,03:37.4,217.435,00:00.3,0.302
uncertain,,03:52.1,232.091,03:55.0,235.044,00:03.0,2.953
uncertain,,04:04.6,244.62,04:05.1,245.09,00:00.5,0.47
