object,,start,start_sec,end,end_sec,duration,duration_sec
uncertain,,02:41.6,161.593,02:42.0,161.987,00:00.4,0.394
uncertain,,02:44.1,164.119,02:45.5,165.535,00:01.4,1.416
uncertain,,02:58.8,178.759,03:03.7,183.735,00:05.0,4.976
uncertain,,03:05.9,185.864,03:06.0,185.958,00:00.1,0.094
uncertain,,03:07.2,187.209,03:08.0,187.995,00:00.8,0.786
uncertain,,03:08.8,188.845,03:09.0,189.04,00:00.2,0.195
uncertain,,03:09.2,189.205,03:09.2,189.236,00:00.0,0.031
uncertain,,03:12.2,192.194,03:12.3,192.26,00:00.1,0.066
uncertain,,03:15.2,195.243,03:16.8,196.793,00:01.6,1.55
uncertain,,03:30.7,210.664,03:34.1,214.058,00:03.4,3.394
uncertain,,03:36.2,216.158,03:36.8,216.752,00:00.6,0.594
uncertain,,04:25.5,265.451,04:25.5,265.549,00:00.1,0.098
uncertain,,04:26.2,266.176,04:26.3,266.339,00:00.2,0.163
uncertain,,04:26.5,266.471,04:26.9,266.865,00:00.4,0.394
uncertain,,04:28.4,268.398,04:28.8,268.827,00:00.4,0.429
uncertain,,05:09.9,309.903,05:10.4,310.426,00:00.5,0.523
uncertain,,05:10.8,310.786,05:11.3,311.347,00:00.6,0.561
uncertain,,05:11.7,311.707,05:11.9,311.905,00:00.2,0.198
uncertain,,05:12.3,312.332,05:12.8,312.827,00:00.5,0.495
uncertain,,05:17.4,317.422,05:17.6,317.617,00:00.2,0.195
uncertain,,05:33.6,333.637,05:37.3,337.259,00:03.6,3.622
card,,00:10.1,10.132,00:10.9,10.856,00:00.7,0.724
card,,00:32.0,32.025,00:33.0,33.011,00:01.0,0.986
card,,00:50.9,50.88,00:51.1,51.135,00:00.3,0.255
card,,00:51.8,51.785,00:51.9,51.948,00:00.2,0.163
card,,01:07.1,67.142,01:07.3,67.272,00:00.1,0.13
card,,01:08.0,68.004,01:08.4,68.361,00:00.4,0.357
card,,01:10.2,70.186,01:10.3,70.315,00:00.1,0.129
card,,01:10.6,70.636,01:12.8,72.812,00:02.2,2.176
card,,01:51.9,111.943,01:54.5,114.482,00:02.5,2.539
card,,02:09.5,129.525,02:13.4,133.445,00:03.9,3.92
card,,02:42.6,162.644,02:43.2,163.166,00:00.5,0.522
card,,02:43.4,163.428,02:44.1,164.053,00:00.6,0.625
card,,03:03.8,183.801,03:05.4,185.378,00:01.6,1.577
card,,03:06.1,186.055,03:06.9,186.879,00:00.8,0.824
card,,03:08.3,188.29,03:08.8,188.812,00:00.5,0.522
card,,03:45.5,225.516,03:45.6,225.581,00:00.1,0.065
card,,03:51.1,231.075,04:00.7,240.737,00:09.7,9.662
card,,04:01.4,241.36,04:08.9,248.877,00:07.5,7.517
card,,05:14.6,314.606,05:16.7,316.744,00:02.1,2.138
key,,00:04.6,4.578,00:06.1,6.054,00:01.5,1.476
key,,00:22.4,22.379,00:22.7,22.705,00:00.3,0.326
key,,00:22.8,22.837,00:24.7,24.713,00:01.9,1.876
key,,00:44.5,44.512,00:46.2,46.16,00:01.6,1.648
key,,01:01.5,61.506,01:02.4,62.393,00:00.9,0.887
key,,01:22.8,82.844,01:23.3,83.271,00:00.4,0.427
key,,01:23.4,83.403,01:24.4,84.39,00:01.0,0.987
key,,01:42.0,102.026,01:44.2,104.234,00:02.2,2.208
key,,02:18.8,138.761,02:19.9,139.911,00:01.2,1.15
key,,02:20.1,140.076,02:20.8,140.764,00:00.7,0.688
key,,02:20.9,140.896,02:21.5,141.483,00:00.6,0.587
key,,02:21.6,141.648,02:22.3,142.336,00:00.7,0.688
key,,02:22.5,142.501,02:23.1,143.123,00:00.6,0.622
key,,02:23.3,143.288,02:24.1,144.142,00:00.9,0.854
key,,02:24.3,144.274,02:25.0,145.028,00:00.8,0.754
key,,02:50.6,170.552,02:50.7,170.679,00:00.1,0.127
key,,02:50.9,170.907,02:52.1,172.09,00:01.2,1.183
key,,02:52.5,172.47,02:53.0,172.959,00:00.5,0.489
key,,03:29.8,209.842,03:29.9,209.905,00:00.1,0.063
key,,04:10.7,250.744,04:10.9,250.904,00:00.2,0.16
key,,04:54.4,294.438,04:58.6,298.627,00:04.2,4.189
key,,05:22.3,322.25,05:25.6,325.576,00:03.3,3.326
key,,05:38.6,338.598,05:38.7,338.728,00:00.1,0.13
map,,00:07.1,7.076,00:07.1,7.107,00:00.0,0.031
map,,00:07.2,7.206,00:07.3,7.271,00:00.1,0.065
map,,00:07.4,7.403,00:07.6,7.567,00:00.2,0.164
map,,00:07.7,7.666,00:07.7,7.696,00:00.0,0.03
map,,00:07.9,7.861,00:08.4,8.416,00:00.6,0.555
map,,00:26.2,26.198,00:26.2,26.23,00:00.0,0.032
map,,00:26.4,26.395,00:26.4,26.426,00:00.0,0.031
map,,00:26.6,26.59,00:29.9,29.918,00:03.3,3.328
map,,00:47.1,47.146,00:47.3,47.308,00:00.2,0.162
map,,00:47.9,47.927,00:49.1,49.143,00:01.2,1.216
map,,01:03.0,63.001,01:05.6,65.587,00:02.6,2.586
map,,01:25.7,85.668,01:27.0,87.015,00:01.3,1.347
map,,01:45.8,105.814,01:46.2,106.171,00:00.4,0.357
map,,01:46.3,106.336,01:47.4,107.386,00:01.1,1.05
map,,02:13.6,133.639,02:14.0,134.018,00:00.4,0.379
map,,02:14.2,134.183,02:18.5,138.5,00:04.3,4.317
map,,02:45.7,165.664,02:46.3,166.286,00:00.6,0.622
map,,02:46.5,166.535,02:47.6,167.586,00:01.1,1.051
map,,02:47.8,167.849,02:50.4,170.42,00:02.6,2.571
map,,02:54.5,174.504,02:54.6,174.63,00:00.1,0.126
map,,02:55.4,175.389,02:57.6,177.595,00:02.2,2.206
map,,04:01.0,240.966,04:01.2,241.228,00:00.3,0.262
map,,04:15.8,255.817,04:15.9,255.914,00:00.1,0.097
map,,04:18.6,258.635,04:18.7,258.697,00:00.1,0.062
map,,04:19.6,259.587,04:19.7,259.743,00:00.2,0.156
map,,04:20.3,260.269,04:21.4,261.416,00:01.1,1.147
map,,04:24.0,264.024,04:24.1,264.081,00:00.1,0.057
map,,04:24.7,264.675,04:25.1,265.129,00:00.5,0.454
map,,04:25.6,265.582,04:26.1,266.143,00:00.6,0.561
map,,04:27.2,267.162,04:27.2,267.193,00:00.0,0.031
map,,04:27.4,267.391,04:27.5,267.456,00:00.1,0.065
map,,04:27.5,267.522,04:28.4,268.365,00:00.8,0.843
map,,04:28.9,268.86,04:31.5,271.459,00:02.6,2.599
map,,04:31.7,271.69,04:32.0,271.985,00:00.3,0.295
map,,04:32.2,272.15,04:38.5,278.512,00:06.4,6.362
map,,04:38.8,278.836,04:39.3,279.292,00:00.5,0.456
map,,04:39.5,279.456,04:46.4,286.412,00:07.0,6.956
map,,05:00.0,299.98,05:03.4,303.372,00:03.4,3.392
map,,05:27.0,326.954,05:29.2,329.192,00:02.2,2.238
ball,,00:12.6,12.569,00:12.8,12.798,00:00.2,0.229
ball,,00:13.1,13.094,00:13.9,13.917,00:00.8,0.823
ball,,00:54.4,54.382,00:54.9,54.908,00:00.5,0.526
ball,,01:14.5,74.479,01:16.2,76.227,00:01.7,1.748
ball,,01:56.7,116.715,01:59.7,119.712,00:03.0,2.997
ball,,02:07.0,126.96,02:09.3,129.33,00:02.4,2.37
ball,,02:38.7,158.693,02:38.9,158.911,00:00.2,0.218
ball,,02:40.1,160.124,02:40.3,160.251,00:00.1,0.127
ball,,02:40.6,160.574,02:41.5,161.496,00:00.9,0.922
ball,,02:42.0,162.02,02:42.6,162.578,00:00.6,0.558
ball,,03:05.5,185.507,03:05.8,185.799,00:00.3,0.292
ball,,03:09.8,189.824,03:09.9,189.922,00:00.1,0.098
ball,,03:11.3,191.276,03:12.1,192.065,00:00.8,0.789
ball,,03:12.3,192.293,03:13.1,193.083,00:00.8,0.79
ball,,03:14.1,194.098,03:14.8,194.79,00:00.7,0.692
ball,,03:15.1,195.086,03:15.2,195.177,00:00.1,0.091
ball,,03:36.0,215.971,03:36.1,216.061,00:00.1,0.09
ball,,03:36.9,216.884,03:37.9,217.938,00:01.1,1.054
ball,,03:38.1,218.096,03:45.4,225.351,00:07.3,7.255
ball,,03:47.7,227.685,03:50.5,230.518,00:02.8,2.833
ball,,05:08.4,308.442,05:08.6,308.622,00:00.2,0.18
ball,,05:11.4,311.38,05:11.6,311.641,00:00.3,0.261
ball,,05:11.9,311.938,05:12.3,312.299,00:00.4,0.361
ball,,05:12.9,312.893,05:13.5,313.453,00:00.6,0.56
face,,00:14.7,14.741,00:17.2,17.248,00:02.5,2.507
face,,00:37.8,37.762,00:39.7,39.669,00:01.9,1.907
face,,00:56.0,55.96,00:57.2,57.202,00:01.2,1.242
face,,01:17.1,77.076,01:18.6,78.62,00:01.5,1.544
face,,01:35.5,95.457,01:37.0,97.005,00:01.5,1.548
face,,01:37.7,97.689,01:38.7,98.705,00:01.0,1.016
face,,02:00.0,120.003,02:06.5,126.531,00:06.5,6.528
face,,02:31.7,151.681,02:37.2,157.22,00:05.5,5.539
face,,03:17.1,197.087,03:18.4,198.404,00:01.3,1.317
face,,03:19.1,199.058,03:21.7,201.727,00:02.7,2.669
face,,03:22.7,202.711,03:23.0,203.033,00:00.3,0.322
face,,03:26.2,206.189,03:27.0,206.975,00:00.8,0.786
face,,04:09.8,249.764,04:10.4,250.352,00:00.6,0.588
face,,04:11.3,251.35,04:15.3,255.322,00:04.0,3.972
face,,04:16.7,256.733,04:17.5,257.488,00:00.8,0.755
face,,04:46.9,286.936,04:49.8,289.832,00:02.9,2.896
face,,05:05.2,305.151,05:07.2,307.224,00:02.1,2.073
